,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
0,Aatrox,23,7,6%,11,12,48%,2.7,6.9,33:54,8.2,475,386,4.7,234,190
1,Ahri,23,34,12%,11,12,48%,4.0,8.6,32:02,8.7,510,397,-2.7,154,-171
2,Akali,90,84,37%,37,53,41%,2.8,7.2,32:03,7.9,550,380,0,-31,124
3,Akshan,0,0,0%,,,,,-,,,,,,,
4,Alistar,9,6,3%,5,4,56%,2.4,9.0,28:59,1.1,106,228,5.3,-97,-108
5,Amumu,11,5,3%,5,6,45%,1.8,9.0,32:15,1.9,192,245,12.5,75,25
6,Anivia,0,2,0%,,,,,3.5,,,,,,,
7,Annie,0,1,0%,,,,,7.0,,,,,,,
8,Aphelios,12,3,3%,4,8,33%,2.4,9.0,32:28,9.0,610,403,-5.7,-852,-486
9,Ashe,104,163,57%,50,54,48%,3.5,4.1,32:57,3.0,390,289,-3.2,89,66
10,Aurelion,0,1,0%,,,,,10.0,,,,,,,
11,Azir,111,96,44%,48,63,43%,2.7,7.3,33:28,8.8,631,397,2.1,5,77
12,Bard,4,3,1%,3,1,75%,5.5,3.0,32:20,1.0,187,246,4,-28,-109
13,Belveth,4,1,1%,2,2,50%,3.6,7.0,26:32,5.4,224,356,16,719,869
14,Blitzcrank,7,3,2%,5,2,71%,3.2,8.3,31:05,1.1,171,251,11,-138,-413
15,Brand,3,0,1%,2,1,67%,2.9,-,30:48,7.2,772,385,-14.3,-321,-447
16,Braum,16,6,5%,10,6,63%,4.8,8.8,31:37,1.1,173,247,1.4,85,128
17,Caitlyn,55,161,46%,34,21,62%,3.9,3.6,33:15,8.7,511,423,6.1,369,35
18,Camille,42,31,16%,17,25,40%,2.2,8.2,33:12,7.5,478,386,-11.2,-420,-123
19,Cassiopeia,16,5,4%,7,9,44%,3.8,7.6,32:31,9.2,527,404,10.6,316,95
20,Chogath,0,0,0%,,,,,-,,,,,,,
21,Corki,3,2,1%,1,2,33%,4.4,7.5,30:38,9.5,700,440,10,765,283
22,Darius,6,18,5%,4,2,67%,2.4,5.3,34:24,7.9,529,409,4,248,-23
23,Diana,1,1,0%,1,0,100%,-,9.0,26:26,7.3,524,410,53,875,1782
24,Dr.,1,0,0%,1,0,100%,3.5,-,31:53,6.5,370,321,-19,-1132,-962
25,Draven,23,32,12%,16,7,70%,4.5,3.8,31:39,8.4,557,493,2.8,801,99
26,Ekko,0,1,0%,,,,,6.0,,,,,,,
27,Elise,38,56,20%,22,16,58%,3.1,4.7,33:11,5.3,419,342,-0.2,99,86
28,Evelynn,0,0,0%,,,,,-,,,,,,,
29,Ezreal,44,16,13%,23,21,52%,3.7,8.0,32:53,9.3,674,420,-1.8,-208,-88
30,Fiddlesticks,0,0,0%,,,,,-,,,,,,,
31,Fiora,86,184,58%,48,38,56%,2.5,5.9,32:06,8.6,522,406,2.5,-54,-31
32,Fizz,0,1,0%,,,,,5.0,,,,,,,
33,Galio,24,28,11%,10,14,42%,3.0,7.0,31:38,7.2,405,341,-12.5,-386,-21
34,Gangplank,35,34,15%,20,15,57%,3.1,7.1,33:12,8.7,706,467,-6.6,298,-19
