,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,region
0,182,0,17,105,75,56,121,36,141,33,157,154,4,0,0,0,1057,0.8,8.0,370,0.33,146,0.4,5.1,126,0.46,1129,1.33,7.3,346,0.42,133,0.67,9.8,288,0.50,214,1.5,0.2,157,0.96,158,1,48,47,107,2,11,88,147,69,70,80,18,9,3,0,812,5.0,8.9,574,0.50,193,13.0,6.7,293,0.38,975,15.0,9.3,520,0.67,819,13.0,8.8,454,0.58,159,14.0,0.3,110,1.42,00:24:00,BR
0,135,0,17,48,80,49,36,47,107,11,136,41,21,8,3,2,562,5.0,7.6,567,0.56,1183,6.0,5.5,427,0.46,1088,1.29,8.4,815,0.46,261,2.8,8.1,872,0.48,849,8.0,0.8,332,1.74,151,1,75,154,122,54,56,60,141,105,53,9,20,6,3,1,501,2.75,6.6,656,0.27,1113,2.0,4.4,354,0.44,740,4.0,8.2,783,0.29,471,4.67,8.7,658,0.39,154,6.33,0.7,349,2.59,00:41:16,BR
0,79,0,48,107,101,37,31,47,13,122,70,118,4,3,1,0,961,0.33,7.8,407,0.45,239,0.5,5.4,134,0.31,386,1.0,7.3,329,0.73,115,2.0,8.3,461,0.49,460,1.0,0.4,170,1.33,156,1,147,105,154,141,56,18,75,143,25,80,15,11,3,1,394,8.0,10.0,458,0.35,782,9.0,5.9,467,0.38,537,12.0,9.9,1038,0.35,664,10.0,7.7,312,0.31,1205,6.5,0.5,118,1.40,00:28:40,BR
0,125,0,157,41,105,31,56,51,141,143,116,154,9,3,1,0,1112,0.5,8.0,263,0.32,1079,2.33,5.5,330,0.45,655,7.0,8.1,495,0.52,671,1.17,7.9,307,0.42,665,2.67,0.4,197,1.74,195,1,9,107,48,60,33,36,75,122,70,80,17,9,2,1,107,9.0,7.9,462,0.42,25,6.5,7.0,581,0.32,63,5.0,9.0,345,0.48,976,5.0,8.8,814,0.65,528,17.0,0.2,126,1.45,00:30:57,BR
0,92,0,157,70,41,31,34,47,107,143,53,99,13,5,2,0,1134,2.0,9.1,425,0.56,354,1.67,4.1,218,0.36,281,3.33,8.8,988,0.49,990,2.5,9.8,328,0.52,794,1.57,0.9,134,1.64,245,1,105,154,75,9,56,39,147,121,136,54,23,11,4,3,362,8.5,8.1,833,0.27,407,5.33,5.0,405,0.31,358,9.0,8.6,510,0.36,1164,4.67,8.6,840,0.45,113,6.33,1.0,221,1.89,00:44:33,BR
0,195,1,9,41,154,82,143,18,75,152,116,54,23,8,4,2,107,6.5,6.6,498,0.35,25,4.0,6.7,739,0.19,63,5.67,7.0,611,0.45,976,16.0,8.6,658,0.59,528,6.0,0.5,263,2.16,156,0,71,70,105,29,49,48,107,56,136,72,12,3,2,0,394,1.4,8.9,835,0.32,782,0.8,5.0,175,0.35,537,1.8,7.4,731,0.19,664,1.25,7.8,490,0.35,1205,1.25,0.7,264,2.16,00:37:26,BR
0,125,1,105,107,141,88,39,51,75,2,17,9,14,11,4,2,1112,2.33,7.6,435,0.21,1079,4.5,6.8,588,0.33,655,4.5,7.3,601,0.21,671,2.25,8.3,611,0.42,665,8.0,1.3,413,2.62,92,0,48,157,154,31,47,36,147,121,70,80,12,3,1,0,1134,2.0,8.7,506,0.54,354,2.0,5.5,267,0.24,281,1.0,7.3,310,0.36,990,4.0,8.7,522,0.57,794,3.67,0.4,204,1.27,00:33:12,BR
0,245,0,70,47,75,56,122,51,147,121,157,71,10,2,3,0,362,1.5,7.8,433,0.39,407,1.75,4.4,240,0.39,358,2.67,7.3,424,0.39,1164,2.0,9.6,703,0.36,113,2.0,0.5,104,1.43,182,1,9,105,41,39,101,31,107,2,116,154,19,8,1,0,1057,17.0,9.2,966,0.27,146,5.67,4.7,249,0.54,1129,2.0,8.1,580,0.51,133,14.0,10.2,719,0.54,214,18.0,0.2,230,1.73,00:33:32,BR
0,158,1,107,48,75,999,51,47,147,33,116,154,20,7,3,0,812,1.5,8.4,504,0.43,193,2.17,4.5,295,0.34,975,6.33,8.0,458,0.63,819,6.67,11.2,1158,0.51,159,10.0,0.1,397,1.83,135,0,122,17,80,11,31,34,141,105,157,71,20,8,3,2,562,8.0,7.6,1072,0.46,1183,2.0,4.5,130,0.43,1088,3.5,9.9,782,0.24,261,2.8,8.9,581,0.46,849,8.0,0.6,139,2.19,00:41:30,BR
0,151,1,105,75,122,143,56,31,141,124,157,154,15,8,4,1,501,3.5,8.7,771,0.46,1113,2.25,4.7,170,0.51,740,2.5,7.7,594,0.24,471,3.0,9.0,559,0.48,154,3.25,0.2,150,1.72,79,0,107,41,47,33,101,144,147,11,70,80,18,6,2,1,961,2.67,6.6,578,0.38,239,4.0,5.1,389,0.22,386,5.5,8.6,700,0.54,115,2.8,7.4,855,0.48,460,8.5,0.2,211,1.51,00:37:08,BR
