,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,region
0,20,1,107,147,105,92,999,51,141,1,70,80,18,9,3,1,830,7.0,7.8,380,0.45,935,3.67,5.3,167,0.45,333,12.0,9.6,675,0.66,736,8.0,7.6,780,0.54,1094,17.0,0.4,183,1.33,15,0,41,75,136,65,69,39,130,2,17,54,8,3,2,0,225,0.5,7.9,455,0.39,1131,2.0,3.9,131,0.39,56,3.0,8.0,194,0.21,806,1.75,10.5,474,0.30,652,2.0,0.8,248,1.18,00:33:11,FR
0,225,1,157,105,154,1,31,101,75,11,53,82,38,21,8,3,100,2.25,8.4,464,999,390,2.89,4.8,402,999,862,3.71,8.4,706,999,404,3.75,10.3,579,999,433,8.5,0.6,245,999,90,0,70,136,122,65,143,51,141,2,17,72,36,17,5,3,1071,2.29,8.4,446,999,1140,2.67,5.5,306,999,144,4.5,8.3,509,999,581,6.5,10.2,428,999,545,2.08,0.8,246,999,00:30:36,CN
0,90,0,70,136,122,65,143,51,141,2,17,72,36,17,5,3,1071,2.29,8.4,446,999,1140,2.67,5.5,306,999,144,4.5,8.3,509,999,581,6.5,10.2,428,999,545,2.08,0.8,246,999,225,1,157,105,154,1,31,101,75,11,53,82,38,21,8,3,100,2.25,8.4,464,999,390,2.89,4.8,402,999,862,3.71,8.4,706,999,404,3.75,10.3,579,999,433,8.5,0.6,245,999,00:29:39,CN
0,225,1,157,105,154,1,31,101,75,11,53,82,38,21,8,3,100,2.25,8.4,464,999,390,2.89,4.8,402,999,862,3.71,8.4,706,999,404,3.75,10.3,579,999,433,8.5,0.6,245,999,90,0,70,136,122,65,143,51,141,2,17,72,36,17,5,3,1071,2.29,8.4,446,999,1140,2.67,5.5,306,999,144,4.5,8.3,509,999,581,6.5,10.2,428,999,545,2.08,0.8,246,999,00:30:36,CN
0,126,1,154,70,9,157,116,18,142,105,136,72,47,21,7,4,1076,3.44,7.5,747,999,340,5.4,6.3,372,999,1170,3.62,8.6,721,999,30,16.5,9.3,930,999,1052,11.33,1.5,329,999,12,0,47,33,147,60,101,31,38,122,49,41,27,7,4,0,1095,1.21,6.6,666,999,1070,2.5,6.8,659,999,380,1.6,6.6,641,999,94,4.0,8.1,581,999,944,1.27,0.5,226,999,00:46:02,CN
0,126,1,154,70,9,157,116,18,142,105,136,72,47,21,7,4,1076,3.44,7.5,747,999,340,5.4,6.3,372,999,1170,3.62,8.6,721,999,30,16.5,9.3,930,999,1052,11.33,1.5,329,999,12,0,47,33,147,60,101,31,38,122,49,41,27,7,4,0,1095,1.21,6.6,666,999,1070,2.5,6.8,659,999,380,1.6,6.6,641,999,94,4.0,8.1,581,999,944,1.27,0.5,226,999,00:46:02,CN
0,132,1,105,62,51,33,31,0,75,2,116,154,56,23,9,4,3,2.47,7.2,546,999,483,4.0,5.3,576,999,513,5.12,8.0,481,999,825,7.33,9.7,664,999,638,4.75,0.4,288,999,25,0,122,70,101,48,11,39,147,1,157,71,48,21,6,4,96,2.91,8.5,581,999,1067,2.27,4.8,286,999,1077,1.71,7.2,446,999,273,3.78,9.5,819,999,686,5.0,0.8,247,999,00:40:36,CN
0,25,0,122,70,101,48,11,39,147,1,157,71,48,21,6,4,96,2.91,8.5,581,999,1067,2.27,4.8,286,999,1077,1.71,7.2,446,999,273,3.78,9.5,819,999,686,5.0,0.8,247,999,132,1,105,62,51,33,31,0,75,2,116,154,56,23,9,4,3,2.47,7.2,546,999,483,4.0,5.3,576,999,513,5.12,8.0,481,999,825,7.33,9.7,664,999,638,4.75,0.4,288,999,00:31:22,CN
0,25,0,122,70,101,48,11,39,147,1,157,71,48,21,6,4,96,2.91,8.5,581,999,1067,2.27,4.8,286,999,1077,1.71,7.2,446,999,273,3.78,9.5,819,999,686,5.0,0.8,247,999,132,1,105,62,51,33,31,0,75,2,116,154,56,23,9,4,3,2.47,7.2,546,999,483,4.0,5.3,576,999,513,5.12,8.0,481,999,825,7.33,9.7,664,999,638,4.75,0.4,288,999,00:31:22,CN
0,19,0,31,41,70,48,101,51,141,1,157,154,13,8,1,1,1047,2.5,7.6,295,0.39,371,2.5,6.0,411,0.32,838,0.75,9.0,294,0.08,220,3.0,9.1,585,0.47,270,11.0,0.3,566,1.24,26,1,17,25,999,40,147,152,75,105,136,71,14,9,3,2,653,1.5,9.5,435,0.37,202,3.0,4.2,388,0.13,781,3.67,10.1,613,0.45,542,3.67,10.3,709,0.26,700,14.0,0.7,83,1.97,00:38:01,ES
