,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,player_5_red,kda_5_red,csM_5_red,dpM_5_red,wpM_5_red,player_5_blue,kda_5_blue,csM_5_blue,dpM_5_blue,wpM_5_blue
0,beGenius ESC,WIN,Sejuani,Wukong,Ryze,Poppy,XinZhao,KSante,Vi,Ahri,Lucian,Nami,18,9,3,1,S0bek,7.0,7.8,380,0.45,Stormax,3.67,5.3,167,0.45,Frostsize,12.0,9.6,675,0.66,PiOk,8.0,7.6,780,0.54,Zaremba,17.0,0.4,183,1.33,Atletec,LOSS,Heimerdinger,Maokai,Varus,LeBlanc,Lissandra,Gwen,Trundle,Akali,Caitlyn,Karma,8,3,2,0,Deimos,0.5,7.9,455,0.39,eaRyz,2.0,3.9,131,0.39,Artoria,3.0,8.0,194,0.21,Rift,1.75,10.5,474,0.30,Myrtus,2.0,0.8,248,1.18,00:33:11,,,,,,,,,,
0,Team WE,WIN,Zeri,Ryze,Yuumi,Ahri,Fiora,Renekton,Maokai,Azir,Kalista,Nautilus,38,21,8,3,Biubiu,2.25,8.4,464,-,Heng,2.89,4.8,402,-,Shanks,3.71,8.4,706,-,Hope,3.75,10.3,579,-,Iwandy,8.5,0.6,245,-,Funplus Phoenix,LOSS,Lucian,Varus,Syndra,LeBlanc,Viktor,KSante,Vi,Akali,Caitlyn,Lux,36,17,5,3,Xiaolaohu,2.29,8.4,446,-,haoye,2.67,5.5,306,-,Care,4.5,8.3,509,-,Lwx,6.5,10.2,428,-,Lele,2.08,0.8,246,-,00:30:36,,,,,,,,,,
0,Funplus Phoenix,LOSS,Lucian,Varus,Syndra,LeBlanc,Viktor,KSante,Vi,Akali,Caitlyn,Lux,36,17,5,3,Xiaolaohu,2.29,8.4,446,-,haoye,2.67,5.5,306,-,Care,4.5,8.3,509,-,Lwx,6.5,10.2,428,-,Lele,2.08,0.8,246,-,Team WE,WIN,Zeri,Ryze,Yuumi,Ahri,Fiora,Renekton,Maokai,Azir,Kalista,Nautilus,38,21,8,3,Biubiu,2.25,8.4,464,-,Heng,2.89,4.8,402,-,Shanks,3.71,8.4,706,-,Hope,3.75,10.3,579,-,Iwandy,8.5,0.6,245,-,00:29:39,,,,,,,,,,
0,Team WE,WIN,Zeri,Ryze,Yuumi,Ahri,Fiora,Renekton,Maokai,Azir,Kalista,Nautilus,38,21,8,3,Biubiu,2.25,8.4,464,-,Heng,2.89,4.8,402,-,Shanks,3.71,8.4,706,-,Hope,3.75,10.3,579,-,Iwandy,8.5,0.6,245,-,Funplus Phoenix,LOSS,Lucian,Varus,Syndra,LeBlanc,Viktor,KSante,Vi,Akali,Caitlyn,Lux,36,17,5,3,Xiaolaohu,2.29,8.4,446,-,haoye,2.67,5.5,306,-,Care,4.5,8.3,509,-,Lwx,6.5,10.2,428,-,Lele,2.08,0.8,246,-,00:30:36,,,,,,,,,,
0,Invictus Gaming,WIN,Yuumi,Lucian,Ashe,Zeri,Sivir,Camille,Viego,Ryze,Varus,Lux,47,21,7,4,YSKM,3.44,7.5,747,-,GIDEON,5.4,6.3,372,-,neny,3.62,8.6,721,-,Ahn,16.5,9.3,930,-,Wink,11.33,1.5,329,-,Anyone s Legend,LOSS,Jax,Galio,Wukong,Kennen,Renekton,Fiora,Graves,Syndra,Jhin,Heimerdinger,27,7,4,0,Zdz,1.21,6.6,666,-,Xiaohao,2.5,6.8,659,-,Harder,1.6,6.6,641,-,Betty,4.0,8.1,581,-,SwordArt,1.27,0.5,226,-,00:46:02,,,,,,,,,,
0,Invictus Gaming,WIN,Yuumi,Lucian,Ashe,Zeri,Sivir,Camille,Viego,Ryze,Varus,Lux,47,21,7,4,YSKM,3.44,7.5,747,-,GIDEON,5.4,6.3,372,-,neny,3.62,8.6,721,-,Ahn,16.5,9.3,930,-,Wink,11.33,1.5,329,-,Anyone s Legend,LOSS,Jax,Galio,Wukong,Kennen,Renekton,Fiora,Graves,Syndra,Jhin,Heimerdinger,27,7,4,0,Zdz,1.21,6.6,666,-,Xiaohao,2.5,6.8,659,-,Harder,1.6,6.6,641,-,Betty,4.0,8.1,581,-,SwordArt,1.27,0.5,226,-,00:46:02,,,,,,,,,,
0,JD Gaming,WIN,Ryze,Kindred,KSante,Galio,Fiora,Aatrox,Maokai,Akali,Sivir,Yuumi,56,23,9,4,369,2.47,7.2,546,-,Kanavi,4.0,5.3,576,-,Knight,5.12,8.0,481,-,Ruler,7.33,9.7,664,-,Missing,4.75,0.4,288,-,Bilibili Gaming,LOSS,Syndra,Lucian,Renekton,Jayce,Azir,Gwen,Wukong,Ahri,Zeri,Lulu,48,21,6,4,Bin,2.91,8.5,581,-,XUN,2.27,4.8,286,-,Yagao,1.71,7.2,446,-,Elk,3.78,9.5,819,-,ON,5.0,0.8,247,-,00:40:36,,,,,,,,,,
0,Bilibili Gaming,LOSS,Syndra,Lucian,Renekton,Jayce,Azir,Gwen,Wukong,Ahri,Zeri,Lulu,48,21,6,4,Bin,2.91,8.5,581,-,XUN,2.27,4.8,286,-,Yagao,1.71,7.2,446,-,Elk,3.78,9.5,819,-,ON,5.0,0.8,247,-,JD Gaming,WIN,Ryze,Kindred,KSante,Galio,Fiora,Aatrox,Maokai,Akali,Sivir,Yuumi,56,23,9,4,369,2.47,7.2,546,-,Kanavi,4.0,5.3,576,-,Knight,5.12,8.0,481,-,Ruler,7.33,9.7,664,-,Missing,4.75,0.4,288,-,00:31:22,,,,,,,,,,
0,Bilibili Gaming,LOSS,Syndra,Lucian,Renekton,Jayce,Azir,Gwen,Wukong,Ahri,Zeri,Lulu,48,21,6,4,Bin,2.91,8.5,581,-,XUN,2.27,4.8,286,-,Yagao,1.71,7.2,446,-,Elk,3.78,9.5,819,-,ON,5.0,0.8,247,-,JD Gaming,WIN,Ryze,Kindred,KSante,Galio,Fiora,Aatrox,Maokai,Akali,Sivir,Yuumi,56,23,9,4,369,2.47,7.2,546,-,Kanavi,4.0,5.3,576,-,Knight,5.12,8.0,481,-,Ruler,7.33,9.7,664,-,Missing,4.75,0.4,288,-,00:31:22,,,,,,,,,,
0,Barça eSports,LOSS,Fiora,Heimerdinger,Lucian,Jayce,Renekton,KSante,Vi,Ahri,Zeri,Yuumi,13,8,1,1,Whiteknight,2.5,7.6,295,0.39,Hadess,2.5,6.0,411,0.32,Sajator,0.75,9.0,294,0.08,Deadly,3.0,9.1,585,0.47,Efias,11.0,0.3,566,1.24,BISONS ECLUB,WIN,Caitlyn,Draven,JarvanIV,Hecarim,Wukong,Yone,Maokai,Ryze,Varus,Lulu,14,9,3,2,Myrwn,1.5,9.5,435,0.37,D4nKa,3.0,4.2,388,0.13,Random,3.67,10.1,613,0.45,Legolas,3.67,10.3,709,0.26,Oscure,14.0,0.7,83,1.97,00:38:01,,,,,,,,,,
0,Fnatic TQ,LOSS,Varus,Zeri,Yuumi,Nautilus,Pyke,Jayce,Maokai,Irelia,Ashe,Karma,9,4,4,0,Oscarinin,1.0,10.3,645,0.46,Rabble,2.67,6.4,571,0.11,Nafkelah,3.5,8.2,424,0.43,Bean,7.0,9.5,474,0.48,Advienne,4.5,0.9,149,1.71,Movistar Riders,WIN,Lucian,Gangplank,Heimerdinger,RenataGlasc,Ryze,Fiora,Sejuani,Sylas,Kaisa,Rakan,11,9,1,2,Marky,5.0,8.5,179,0.43,Isma,4.5,5.8,226,0.26,Fresskowy,1.67,8.5,353,0.43,Supa,4.0,9.8,454,0.63,Alvaro,10.0,1.3,161,1.96,00:35:08,,,,,,,,,,
0,Guasones,LOSS,Seraphine,Varus,Sejuani,Sivir,Heimerdinger,Olaf,Wukong,Lissandra,Zeri,Yuumi,21,5,3,1,Dreedy,4.0,9.0,524,0.52,Akre,6.0,4.9,463,0.16,Hydra,3.0,6.7,286,0.40,odi11,14.0,9.8,621,0.35,Nio,19.0,0.1,187,1.52,Rebels Gaming,WIN,Caitlyn,Fiora,Nami,Sylas,Ryze,KSante,Vi,Syndra,Xayah,Rakan,12,9,4,1,R4VEN,4.0,7.2,223,0.30,AHaHaCiK,1.0,4.8,169,0.30,Xico,2.0,8.1,929,0.56,Rayito,3.0,10.0,835,0.37,Obstinatus,2.0,1.1,146,2.44,00:42:41,,,,,,,,,,
