,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,113,TR ,5,0%,1.6,1.6,3.8,4.4,5,302,70.3%,14.6,283,1.23,0.28,0.24,0.29,-559,-22,-603,60%,20%,0,1
1,1Blue,KR ,1,0%,0,0,2,0,6.9,285,0%,26.3,309,0.47,0.3,0.08,0.08,-759,-3,-968,0%,0%,0,-
2,2Trick,NL ,2,50%,1.8,1,6.5,10.5,1,232,50%,6.6,182,2.52,1.28,0.4,0.3,-324,-2,-66,50%,50%,0,-
3,369,CN ,3,66.7%,2.5,2.7,5,9.7,7.2,370,59.2%,21.6,546,-,-,-,-,-,-,-,-,-,-,-
4,5Kid,KR ,2,100%,16,4,0.5,4,10.4,464,64.6%,32.8,822,1.67,0.58,0.46,0.23,683,28,275,50%,0%,0,-
5,6ax,BG ,3,33.3%,2.3,1.3,2.3,4,8.1,375,67.5%,28.6,540,0.92,0.5,0.11,0.19,175,-1,-163,33.3%,0%,0,-
6,ACD,EE ,2,100%,5.5,6,2,5,7.8,427,49%,23.5,802,1.55,0.43,0.24,0.14,428,12,372,0%,0%,0,1
7,ADD,KR ,7,28.6%,1.8,3.1,4.6,5,8,416,59%,29.7,702,1.3,0.43,0.22,0.11,485,1,214,14.3%,28.6%,0,3
8,AHaHaCiK,RU ,5,80%,2.4,1,3,6.2,4.8,313,60.1%,11.2,238,1.45,0.31,0.31,0.28,-230,-15,-268,40%,40%,0,-
9,AKi,CN ,2,0%,2.3,2.5,3.5,5.5,5,331,91.2%,9.2,196,-,-,-,-,-,-,-,-,-,-,-
10,AOS,RO ,2,0%,0.2,0,2.5,0.5,8,310,10%,22.7,299,0.51,0.32,0.04,0.04,-1014,-12,-664,0%,0%,0,-
11,APA,US ,6,66.7%,3.3,4.7,2.7,4.2,8.8,436,55.5%,23.4,509,1.19,0.42,0.13,0.12,271,-10,-249,16.7%,0%,0,1
12,ASTRO1,BA ,3,0%,1.4,1.3,2.3,2,7.4,333,70%,23.4,387,0.71,0.26,0.22,0.1,-679,-34,-273,33.3%,33.3%,0,-
13,Abagnale,TR ,4,25%,1.3,0.8,4.8,5.5,1,234,52.8%,13.6,266,2.84,1.53,0.33,0.36,-1121,-4,-204,0%,50%,0,-
14,Ablazeolive,CA ,6,16.7%,1.6,2.3,4.2,4.2,8.5,383,51.9%,28.9,611,0.92,0.3,0.19,0.12,-212,0,-106,0%,16.7%,0,2
15,Able,CN ,2,0%,3,2.5,2.5,5,9.6,426,88.2%,29.2,581,-,-,-,-,-,-,-,-,-,-,-
16,Abner,ES ,4,50%,8.2,4.3,1.3,6,9.1,479,86.6%,24.2,545,0.79,0.28,0.17,0.02,1170,8,160,75%,0%,0,1
17,Acce,AR ,2,100%,2.4,3,4,6.5,7.7,386,40.7%,16.3,536,0.85,0.31,0.14,0.21,-76,-0,-526,0%,50%,0,1
18,Acee,JP ,2,0%,2.4,2.5,4,7,6.7,339,83.3%,27.8,632,1.34,0.42,0.3,0.31,219,-8,154,100%,0%,0,-
19,Ackerman,AR ,2,100%,9.5,0.5,1,9,0.8,259,81.2%,11.3,282,2.69,1.36,0.55,0.46,158,-8,542,50%,0%,0,-
20,Adam,FR ,5,60%,4,3.6,2,4.4,8.3,407,53.6%,20.4,450,1.01,0.34,0.24,0.16,530,5,301,40%,20%,0,4
21,Addusto,DE ,1,0%,0.5,0,6,3,7.8,347,25%,10.7,232,1.14,0.18,0.4,0.07,142,5,190,0%,0%,0,-
22,Adison,PL ,5,60%,3.2,2.4,2.4,5.2,8.2,381,42.8%,20,396,1.17,0.35,0.33,0.09,-898,-13,-243,0%,20%,0,-
23,Adiss,CZ ,1,100%,-,2,0,7,8.5,412,64.3%,27.6,749,1.33,0.37,0.25,0.21,353,2,754,0%,0%,0,1
24,Advienne,NL ,5,60%,4.6,0.4,1.8,7.8,0.8,230,58.5%,7.3,162,2.93,1.3,0.5,0.44,39,-1,-22,20%,20%,0,-
25,Aegis,BR ,4,100%,4.1,3.3,3,9,6.8,398,63.7%,19.4,492,1.18,0.25,0.23,0.19,516,6,272,75%,0%,0,-
26,Aetinoth,TR ,2,100%,7.8,7.5,2,8,8.5,441,84.2%,27.7,750,1.81,0.59,0.38,0.17,1020,16,340,0%,0%,0,1
27,Afm,PT ,2,100%,29,2.5,0.5,12,8.8,423,56%,25.7,778,1.3,0.4,0.25,0.11,991,18,-182,0%,0%,0,-
28,Afroboi,DE ,4,50%,3.1,1.5,2.5,6.3,4.6,288,59.1%,10.5,212,1.3,0.27,0.3,0.26,-342,-12,-126,25%,25%,0,-
29,Agresivoo,PL ,4,50%,4.6,2,1.8,6,8.2,375,74.7%,24.4,552,1.18,0.48,0.18,0.21,-501,-2,-171,25%,0%,0,1
30,Ahn,CN ,4,100%,15.3,6.3,1,9,9.3,524,70.5%,32.1,848,-,-,-,-,-,-,-,-,-,-,-
31,Aiming,KR ,11,54.5%,4.8,3.8,1.5,3.1,10.3,463,62.6%,28.9,562,1.6,0.46,0.49,0.18,106,-7,117,9.1%,0%,0,-
32,Air,SE ,4,25%,1.8,1.5,2.8,3.5,8.7,366,81.3%,25.5,453,0.87,0.23,0.16,0.11,-80,1,294,0%,0%,0,-
33,Aithusa,BR ,2,100%,10.5,4.5,1,6,7.9,411,83.3%,34,817,1.35,0.49,0.23,0.15,314,13,254,100%,0%,0,-
34,Akabane,FR ,2,100%,9.3,3.5,1.5,10.5,7.1,439,68.1%,13.3,320,1.44,0.29,0.25,0.25,1348,24,991,50%,0%,0,-
35,Akano,,1,0%,1,0,2,2,5.3,271,100%,5.9,73,0.9,0.16,0.29,0.2,-643,-1,-90,0%,0%,0,-
36,Akre,DE ,5,0%,2.7,3.4,3.2,5.2,5.5,329,64.6%,24.2,505,1.49,0.12,0.4,0.1,546,21,382,20%,0%,0,-
37,Aladoric,AU ,2,100%,13,3,1.5,16.5,0.8,300,78%,7,166,2.4,1.3,0.2,0.36,68,4,-413,50%,50%,0,1
38,Alby,NL ,5,20%,1.6,0.8,3.6,5,4.9,288,65.4%,17.6,408,1.45,0.24,0.38,0.23,-147,-1,-127,20%,20%,0,-
39,Ale,CN ,2,100%,3.5,2,2,5,10,479,44.3%,30.8,706,-,-,-,-,-,-,-,-,-,-,-
40,Alexx,SE ,4,100%,9.5,2.3,1,7.3,5.3,338,65.2%,14,327,1.52,0.22,0.36,0.22,686,9,358,0%,25%,0,-
41,Aliplane,NL ,2,50%,2.6,2,2.5,4.5,8.3,371,66.9%,23.1,418,1.1,0.31,0.23,0.07,-1124,-16,-1121,0%,0%,0,-
42,Aloned,CL ,2,0%,1.2,1.5,2.5,1.5,8.8,380,53.3%,29.9,500,0.97,0.25,0.3,0.2,-460,-12,21,0%,0%,0,-
