,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
0,100 Challengers,S13,NA,12,58.3%,1.31,1870,108,30:53,16.5,12.5,6.8,5.2,75.0,58.3,2.17,54.2,1.00,50.0,0.83,-0.1,60,4.25,0.67,65.5,32.3,2467,2.9,0.92,1.10
1,100 Thieves,S13,NA,4,75.0%,1.69,1925,268,30:31,14.8,8.8,8.3,3.8,75.0,75.0,3.00,75.0,1.25,62.5,1.00,0.3,3025,4.75,1.00,100.0,34.0,2328,2.8,0.91,1.27
2,3BL Esports,S13,AL,3,33.3%,0.98,1770,-6,32:41,15.0,15.0,3.3,8.0,100.0,-,2.67,58.3,0.33,16.7,1.00,-0.7,-2032,1.67,0.67,66.7,32.0,2131,2.6,0.84,1.45
3,5 Ronin,S13,TR,4,25.0%,0.93,1662,-188,31:15,10.0,10.8,3.3,8.3,50.0,25.0,2.00,43.3,0.75,37.5,0.75,-0.3,-356,2.50,0.50,25.0,29.9,2057,2.7,1.09,1.07
4,Aegis,S13,FR,6,33.3%,0.81,1721,-157,32:26,11.3,13.8,5.5,7.5,50.0,50.0,2.00,45.3,0.83,41.7,1.00,0.3,-47,3.50,0.67,33.3,31.9,1852,2.6,0.99,1.35
5,Akroma,S13,FR,8,25.0%,0.80,1732,-143,32:27,12.9,16.0,5.1,7.3,50.0,62.5,2.00,36.3,1.00,50.0,0.88,0.3,-110,3.00,1.25,56.3,29.6,1908,2.8,1.04,1.06
6,Alior Bank Team,S13,PL,7,42.9%,0.87,1738,-66,31:42,10.6,12.1,5.1,7.1,42.9,42.9,2.14,52.9,1.00,50.0,0.71,-0.4,-1224,3.43,0.57,42.9,32.6,1912,2.7,1.00,1.30
7,All Knights,S13,LAT,5,20.0%,0.37,1595,-326,28:29,4.6,12.6,3.2,8.0,20.0,20.0,1.40,34.7,0.00,0.0,1.00,-0.6,-2731,1.60,0.40,25.0,32.2,1579,3.0,1.15,1.31
8,aNc Outplayed,S13,IT,4,100.0%,1.75,2050,343,33:44,22.3,12.8,9.5,3.3,25.0,100.0,4.00,80.8,1.50,75.0,1.25,0.8,2534,9.00,1.50,91.7,32.0,2792,3.2,1.01,1.49
9,Ankora Gaming,S13,RS,5,0.0%,0.40,1558,-421,31:13,6.4,16.2,1.6,10.2,20.0,20.0,1.80,40.0,0.60,30.0,1.00,-0.2,-1995,1.40,0.00,0.0,30.3,1578,2.6,0.86,1.03
10,Anorthosis Famagusta Esports,S13,GR,4,100.0%,2.08,2089,464,30:54,19.3,9.3,9.5,3.0,100.0,75.0,3.25,74.1,1.50,75.0,1.00,1.0,4344,7.25,1.25,91.7,34.2,2711,3.2,1.00,1.32
11,Anubis Gaming,S13,AL,3,0.0%,0.22,1525,-525,26:33,4.3,20.0,2.3,9.0,33.3,66.7,0.67,16.7,0.67,33.3,0.33,-0.3,-2440,4.33,0.00,0.0,28.5,1777,2.6,0.87,0.88
12,Anyone s Legend,S13,CN,12,16.7%,0.57,1632,-277,31:46,8.0,14.0,4.3,7.8,50.0,33.3,1.58,33.6,-,-,-,-,-,-,0.33,16.7,31.3,1984,-,-,-
13,AOE Esports,S13,NA,12,33.3%,0.70,1727,-171,34:12,12.7,18.0,4.4,8.1,16.7,25.0,2.17,39.8,0.50,25.0,1.08,-0.3,-1153,3.17,1.17,38.8,30.8,2410,2.7,0.65,1.35
14,Astralis,S13,EUW,8,37.5%,0.75,1715,-115,31:19,11.9,15.8,5.0,7.1,75.0,75.0,1.50,31.7,0.88,43.8,0.63,0.0,-411,5.63,0.50,35.7,29.3,2172,3.5,1.15,1.30
15,Atletec,S13,FR,8,50.0%,0.88,1767,-35,30:23,11.6,13.3,4.9,6.3,50.0,62.5,2.25,53.8,1.00,50.0,0.88,-0.1,120,2.75,0.50,37.5,32.3,1898,2.6,0.92,1.28
16,AXIZ,S13,JP,4,50.0%,0.75,1729,-81,33:04,12.8,17.0,5.8,6.5,25.0,50.0,1.50,33.3,1.00,50.0,0.50,0.0,136,5.25,0.50,33.3,30.1,2278,3.0,1.36,1.25
17,Axolotl,S13,IT,4,50.0%,1.36,1812,25,28:10,15.3,11.3,6.0,5.3,100.0,75.0,2.25,57.1,1.00,50.0,1.50,0.0,504,2.75,0.50,50.0,31.7,2314,2.8,0.81,1.28
18,AYM Esports,S13,ES,6,16.7%,0.59,1727,-202,31:23,10.7,18.0,5.3,8.5,33.3,50.0,2.00,46.7,0.67,33.3,1.17,0.2,-734,3.50,0.50,33.3,31.4,1850,2.8,1.02,1.19
19,Barça eSports,S13,ES,7,57.1%,0.96,1771,-51,37:40,12.3,12.9,7.7,6.7,28.6,42.9,2.14,39.4,0.71,35.7,1.00,0.0,-888,3.43,0.86,47.6,32.8,2197,3.1,0.99,1.60
20,beGenius ESC,S13,FR,8,50.0%,1.14,1827,112,36:50,14.3,12.5,7.4,6.4,37.5,50.0,2.50,48.3,1.13,56.3,0.50,0.0,-205,4.25,1.25,68.8,31.4,2410,3.2,1.17,1.42
21,Benelux United,S13,BE,4,75.0%,1.72,1901,240,34:39,16.8,9.8,7.8,4.8,50.0,50.0,3.75,70.8,0.75,37.5,1.75,0.0,250,3.00,1.50,75.0,32.5,2228,3.1,1.02,1.28
22,Berlin International Gaming,S13,DE,6,33.3%,0.86,1841,5,32:53,14.5,16.8,6.0,6.8,66.7,33.3,2.50,54.2,1.50,75.0,1.00,0.0,1349,5.00,0.50,33.3,32.4,2309,3.0,1.07,1.36
